SUID Files Review:
-rwsr-xr-- 1 root messagebus 34960 Aug  9  2024 /usr/lib/dbus-1.0/dbus-daemon-launch-helper
-rwsr-xr-x 1 root root 342632 Mar  4 17:55 /usr/lib/openssh/ssh-keysign
-rwsr-xr-x 1 root root 18736 Apr 10 10:57 /usr/lib/polkit-1/polkit-agent-helper-1
-rwsr-xr-x 1 root root 10232 Apr  3  2018 /usr/sbin/pam-tmpdir-helper
-rwsr-xr-x 1 root root 64152 May 30  2024 /usr/bin/passwd
-rwsr-xr-x 1 root root 39296 Apr  8  2024 /usr/bin/fusermount3
-rwsr-xr-x 1 root root 76248 May 30  2024 /usr/bin/gpasswd
-rwsr-xr-x 1 root root 39296 Mar  6 16:00 /usr/bin/umount
-rwsr-xr-x 1 root root 40664 May 30  2024 /usr/bin/newgrp
-rwsr-xr-x 1 root root 72792 May 30  2024 /usr/bin/chfn
-rwsr-xr-x 1 root root 51584 Mar  6 16:00 /usr/bin/mount
-rwsr-xr-x 1 root root 277936 Mar  2 12:56 /usr/bin/sudo
-rwsr-xr-x 1 root root 44760 May 30  2024 /usr/bin/chsh
-rwsr-xr-x 1 root root 55680 Mar  6 16:00 /usr/bin/su

SGID Files Review:
-rwxr-sr-x 1 root utmp 14488 Apr  8  2024 /usr/lib/x86_64-linux-gnu/utempter/utempter
-rwxr-sr-x 1 root shadow 31040 Sep 15  2025 /usr/sbin/unix_chkpwd
-r-xr-sr-x 1 root postdrop 22960 Apr  8  2024 /usr/sbin/postdrop
-rwxr-sr-x 1 root shadow 26944 Sep 15  2025 /usr/sbin/pam_extrausers_chkpwd
-r-xr-sr-x 1 root postdrop 22912 Apr  8  2024 /usr/sbin/postqueue
-rwxr-sr-x 1 root shadow 27152 May 30  2024 /usr/bin/expiry
-rwxr-sr-x 1 root _ssh 309688 Mar  4 17:55 /usr/bin/ssh-agent
-rwxr-sr-x 1 root crontab 39664 Mar 31  2024 /usr/bin/crontab
-rwxr-sr-x 1 root mail 22680 Apr  8  2024 /usr/bin/dotlockfile
-rwxr-sr-x 1 root shadow 72184 May 30  2024 /usr/bin/chage

Generated: 2026-04-20T07:21:29Z
